"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 12 19:17:52 BDT 2022","Wed Jan 12 19:18:04 BDT 2022","11269","My-Suite","CompleteProcessOfOrder","tests.Test_006_Logout","tests.Test_006_Logout","logoutTest","Sign Out from rokomari.com","Test Description: This test will try to Sign Out from rokomari.com"
"passed","Wed Jan 12 19:17:28 BDT 2022","Wed Jan 12 19:17:52 BDT 2022","24557","My-Suite","CompleteProcessOfOrder","tests.Test_005_ShippingPage","tests.Test_005_ShippingPage","shippingPage","Shipping page test","Test Description: This test will try to browse to my shipping page then fill up the delivery information form with book recipient info "
"passed","Wed Jan 12 19:16:35 BDT 2022","Wed Jan 12 19:16:47 BDT 2022","11186","My-Suite","CompleteProcessOfOrder","tests.Test_001_HomePage","tests.Test_001_HomePage","homePageTest","Open rokomari.com in the browser and perform Tests","Test Description: Tins test will wait to completely load the home page of Rokomari then perform testing & take a screenshot."
"passed","Wed Jan 12 19:17:03 BDT 2022","Wed Jan 12 19:17:26 BDT 2022","22821","My-Suite","CompleteProcessOfOrder","tests.Test_003_SelectProduct","tests.Test_003_SelectProduct","selectProduct","Select a book by filtering writer and category","Test Description: This test will try to select a specific writer then perform filtering based on two categories. after that, it browses to the next page and adds the fourth book to the cart"
"passed","Wed Jan 12 19:16:47 BDT 2022","Wed Jan 12 19:17:03 BDT 2022","16239","My-Suite","CompleteProcessOfOrder","tests.Test_002_SignUpWithGoogle","tests.Test_002_SignUpWithGoogle","signUpWithGoogle","SignUp with Google test","Test Description: This test will try to Sign up with Google for Rokomari. It will verify every step and save screenshots for future use."
"passed","Wed Jan 12 19:17:26 BDT 2022","Wed Jan 12 19:17:28 BDT 2022","1925","My-Suite","CompleteProcessOfOrder","tests.Test_004_MyCartPage","tests.Test_004_MyCartPage","myCartPage","My cart page","Test Description: This test will try to browse to my cart page and perform tests"
